Address,Sold Price,Type,Year built,Heating,Cooling,Parking,Bedrooms,Bathrooms,Elementary School Score,Elementary School Distance,Middle School Score,Middle School Distance,High School Score,High School Distance,Appliances included,Laundry features,Zip,Neighborhood
358 S Gramercy Pl APT 308,420000.0,Condo,1965.0,Central,Central Air,"Assigned, Built-In Storage, Community Structure, Controlled Entrance, Underground",1,1.0,6.0,0.5,7.0,1.5,4.0,1.5,"Convection Oven, Dishwasher, Gas Range, Ice Maker, Refrigerator",Community,90020,Wilshire Center
1018 S Gretna Green Way,4550000.0,SingleFamily,2019.0,Central,"Central Air, Dual, Heat Pump",Garage - Attached,5,6.0,,,7.0,1.8,6.0,0.5,"Barbecue, Dishwasher, Disposal, Microwave, Water Purifier, Built-In, Gas Cooktop, Double Oven, Gas Oven, Dryer",Laundry Room,90049,Brentwood
4328 Chase Ave,1364000.0,SingleFamily,1941.0,Central,,Driveway,2,2.0,6.0,0.2,2.0,0.6,6.0,1.0,,In Garage,90066,Mar Vista
2222 Avenue Of The Stars UNIT 1902,3200000.0,Condo,1964.0,Central,Central Air,"Garage - Two Door, Valet",4,4.0,9.0,1.4,,,6.0,3.3,"Dishwasher, Disposal","Inside, See Remarks",90067,Century City
6527 Ferguson Dr,525000.0,SingleFamily,1942.0,,,Garage,3,2.0,4.0,0.3,,,5.0,1.3,,Common Area,90022,East Los Angeles
4336 Moore St,1050000.0,SingleFamily,1953.0,,,Garage - Two Door,3,1.0,6.0,2.0,7.0,2.2,8.0,2.1,"Dishwasher, Microwave, Washer",Laundry Room,90066,Mar Vista
1535 Gordon St,1775000.0,SingleFamily,1940.0,,,Driveway,2,1.0,4.0,0.4,3.0,0.3,6.0,1.3,,,90028,Hollywood
5114 Melrose Ave,927500.0,SingleFamily,2014.0,Central,Central Air,Garage - Two Door,2,3.0,6.0,0.3,3.0,0.8,7.0,3.0,"Dishwasher, Microwave, Refrigerator",Inside,90038,Hollywood
5307 Dahlia Dr,1235000.0,SingleFamily,1940.0,"Forced Air, Natural Gas",Central Air,"Driveway, Garage, Concrete, Garage - Single Door",3,3.0,6.0,0.3,,,7.0,0.7,"Disposal, Refrigerator, Dishwasher",Laundry Room,90041,Eagle Rock
3410 Colonial Ave,1725000.0,SingleFamily,1945.0,Central,Central Air,Garage,3,2.0,4.0,0.8,4.0,0.9,6.0,1.0,"Dryer, Washer",Stackable,90066,Mar Vista
9316 Grape St,363000.0,SingleFamily,1924.0,,,,2,2.0,4.0,0.1,1.0,0.9,,,Microwave,,90002,Watts
2117 W 77th St,500000.0,SingleFamily,1924.0,,,Garage,2,2.0,3.0,0.1,,,2.0,2.2,,Laundry Room,90047,South Los Angeles
11753 Wetherby Ln,3500000.0,SingleFamily,2019.0,,Central Air,Garage - Attached,5,6.0,9.0,1.0,,,6.0,4.2,,Laundry Room,90077,Bel-Air
1862 Echo Park Ave,950000.0,SingleFamily,1912.0,Wall,,"Garage, Covered",3,1.0,,,6.0,1.9,3.0,1.6,,"Gas Dryer Hookup, Washer Hookup",90026,Echo Park
9515 Croesus Ave,345000.0,SingleFamily,1959.0,,,Garage - Attached,3,2.0,4.0,0.2,1.0,1.1,,,,"Laundry Room, Outside",90002,Watts
1116 S Oxford Ave,8750000.0,SingleFamily,1924.0,Wall,Wall,"Carport, Garage - Detached, Covered",2,2.0,3.0,0.1,5.0,0.7,4.0,1.3,"Garbage disposal, Refrigerator",,90006,Pico-Union
1914 Selby Ave APT 101,835000.0,Condo,1989.0,Central,Central Air,0 spaces,2,3.0,9.0,0.2,,,6.0,1.8,"Dishwasher, Refrigerator, Washer, Dryer",,90025,West Los Angeles
654 N Virgil Ave APT 305,805000.0,Condo,2019.0,Central,Central,Covered,3,3.0,6.0,0.1,6.0,0.9,8.0,1.7,"Dishwasher, Dryer, Garbage disposal, Refrigerator, Washer",In Unit,90004,Hancock Park
12561 Walsh Ave,2170000.0,SingleFamily,2019.0,Central,Central Air,"Garage, Other",4,5.0,6.0,0.4,2.0,0.3,6.0,1.2,"Freezer, Refrigerator, Barbecue, Counter Top, Disposal, Range Hood, Oven, Microwave, Dishwasher, Range",See Remarks,90066,Mar Vista
12233 Dorothy St,2950172.0,SingleFamily,1940.0,Central,Central Air,"Detached Carport, Garage",4,4.0,9.0,1.8,7.0,1.5,6.0,0.8,"Dishwasher, Disposal, Refrigerator, Gas Cooktop, Double Oven, Microwave, Range Hood, Washer, Dryer",Inside,90049,Brentwood
4424 W 61st St,800000.0,SingleFamily,1939.0,Wall Furnace,,Garage - Attached,3,2.0,2.0,0.8,2.0,2.2,,,Disposal,,90043,View Park-Windsor Hills
2842 Hollyridge Dr,1520000.0,SingleFamily,1962.0,Central,Central Air,"Covered, Direct Access, Garage Door Opener, Garage - Two Door",2,2.0,6.0,0.9,3.0,1.6,6.0,1.9,"Dishwasher, Disposal, Microwave, Refrigerator",Laundry Closet,90068,Hollywood Hills
460 S Spring St APT 204,360000.0,Condo,1912.0,Central,Central Air,0 spaces,0,1.0,,,3.0,1.4,3.0,1.2,"Dishwasher, Microwave, Refrigerator, Washer, Dryer",,90013,Little Tokyo
159 S Gretna Green Way,6595000.0,SingleFamily,2016.0,Central,Central Air,"Direct Access, Driveway, Garage - Two Door",5,8.0,,,7.0,1.1,8.0,3.4,"Barbecue, Dishwasher, Disposal, Refrigerator, Washer, Dryer","Inside, Laundry Room",90049,Brentwood
1117 S Ridgeley Dr,1611000.0,SingleFamily,1927.0,Central,Central Air,Driveway,3,3.0,2.0,0.6,7.0,1.2,7.0,1.8,,Stackable,90019,Mid-City
3122 W 11th St,8750000.0,SingleFamily,1904.0,Central,Central,"Garage, Carport, Garage - Detached, Covered",3,3.0,3.0,0.1,5.0,0.7,4.0,1.3,,Laundry Area,90006,Pico-Union
7604 Willow Glen Rd,2094000.0,SingleFamily,1965.0,Central,Central Air,"Garage, Garage - Attached, Covered",3,3.0,7.0,1.4,3.0,2.6,7.0,2.2,"Dishwasher, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator","Individual Room, Gas Dryer Hookup, Washer Hookup",90046,Hollywood Hills
10966 Strathmore Dr APT 8,982000.0,Condo,1935.0,Forced Air,,Carport,2,2.0,9.0,1.1,,,6.0,1.5,"Disposal, Refrigerator",,90024,Westwood
11042 S Manhattan Pl,600000.0,SingleFamily,1947.0,Central,Central Air,"Garage, Garage Faces Rear",3,1.0,4.0,0.5,4.0,0.8,2.0,0.4,"ENERGY STAR Qualified Appliances, Gas Oven, Gas Range, Microwave, Water Heater","Inside, Stackable",90047,South Los Angeles
11954 Goshen Ave #102,986000.0,Condo,1973.0,,,"Garage, Garage - Two Door",2,2.0,5.0,0.2,7.0,2.0,6.0,0.3,,,90049,Brentwood
1943 Laughlin Park Dr,2594500.0,SingleFamily,1922.0,Floor Furnace,,"Driveway, Garage",4,3.0,6.0,1.0,3.0,1.1,6.0,2.2,"Dishwasher, Microwave, Refrigerator, Trash Compactor",,90027,Los Feliz
1085 W Kensington Rd,741000.0,Condo,1982.0,Central,,"Direct Access, Garage Door Opener, Garage - Two Door, Private",2,2.0,2.0,0.5,,,3.0,0.7,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",In Garage,90026,Echo Park
4816 Buchanan St,792000.0,SingleFamily,2019.0,"Central, Natural Gas, ENERGY STAR Qualified Equipment","Central Air, Electric, ENERGY STAR Qualified Equipment","Garage - Single Door, Garage Door Opener",3,2.0,5.0,0.3,,,7.0,0.8,"Disposal, Gas Range, Gas Water Heater, Microwave, Refrigerator, Tankless Water Heater, Water Line to Refrigerator","Gas & Electric Dryer Hookup, In Garage",90042,Highland Park
3733 Ocean View Ave,1364000.0,SingleFamily,1953.0,Central,Central Air,Garage - Two Door,3,2.0,6.0,0.4,3.0,1.5,6.0,0.8,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",In Garage,90066,Mar Vista
4421 Berkshire Ave,1062000.0,SingleFamily,1911.0,Wall Furnace,,"Driveway, Garage",4,2.0,6.0,0.1,5.0,1.6,4.0,2.4,,Inside,90032,El Sereno
2736 Guirado St,605000.0,SingleFamily,1971.0,Central,Central Air,,3,2.0,5.0,0.3,6.0,0.2,3.0,0.3,"6 Burner Stove, Gas Range",Laundry Room,90023,Boyle Heights
3126 W 11th St,8750000.0,SingleFamily,1914.0,Other,Other,"Garage, Carport, Garage - Detached, Covered",3,1.0,3.0,0.1,5.0,0.7,4.0,1.3,,Other,90006,Pico-Union
431 S Kingsley Dr APT 201,550000.0,Condo,1983.0,Central,Central Air,Garage,2,2.0,5.0,0.3,,,,,,Inside,90020,Wilshire Center
222 S Central Ave APT 117,377000.0,Condo,1985.0,,Wall/Window Unit(s),"Community Structure, Controlled Entrance",1,1.0,,,6.0,1.8,3.0,1.8,"Electric Oven, Microwave, Refrigerator",Laundry Room,90012,Downtown LA
12004 S Broadway,410000.0,Condo,2006.0,,Central Air,Direct Access,4,2.0,6.0,0.7,2.0,0.8,,,,"Laundry Closet, Upper Level",90061,South Los Angeles
1815 Westmoreland Blvd,1120000.0,SingleFamily,1910.0,Wall,,"Covered, Garage",6,3.0,2.0,0.4,5.0,0.7,4.0,1.1,,Individual Room,90006,Pico-Union
826 W 104th St,365000.0,SingleFamily,1929.0,Central,,"Driveway, Garage - Two Door",3,2.0,5.0,0.5,2.0,1.4,2.0,0.9,Disposal,,90044,South Los Angeles
2848 Griffin Ave,855000.0,SingleFamily,2019.0,Central,Central,Covered,3,3.0,2.0,0.3,5.0,0.7,4.0,1.8,"Dishwasher, Garbage disposal, Microwave, Refrigerator",In Unit,90031,Lincoln Heights
1250 W 58th Pl,575000.0,SingleFamily,1912.0,Wall Furnace,Evaporative Cooling,,3,2.0,3.0,0.1,2.0,0.4,2.0,0.6,"Gas Oven, Microwave",Inside,90044,South Los Angeles
3130 Hollycrest Dr,1185000.0,SingleFamily,2004.0,Central,Central Air,Garage - Two Door,2,3.0,8.0,0.2,3.0,2.6,6.0,1.9,"Dishwasher, Refrigerator",See Remarks,90068,Hollywood Hills
1452 S Spaulding Ave,2195000.0,SingleFamily,1928.0,"Central, Heat Pump, Natural Gas","Central Air, Dual, Electric","Auto Driveway Gate, Carport, Detached Carport, Driveway, Driveway - Combination, Paved",4,4.0,4.0,0.4,,,7.0,2.1,"Dishwasher, Disposal, Microwave, Refrigerator, Vented Exhaust Fan, Water Purifier, Washer, Dryer","Stackable, Upper Level, Laundry Room",90019,Mid-City
1035 W 66th St,419900.0,SingleFamily,1911.0,,,"Driveway, Open",2,2.0,3.0,0.5,2.0,0.5,2.0,0.5,,"Gas Dryer Hookup, Washer Hookup",90044,South Los Angeles
2501 Lancaster Ave,570000.0,SingleFamily,1926.0,Zoned,Wall/Window Unit(s),"Driveway, RV Access/Parking",5,3.0,2.0,0.2,5.0,1.8,4.0,1.0,"Gas Cooktop, Gas Water Heater, Water Heater Central",Outside,90033,Boyle Heights
1734 S Victoria Ave,1050000.0,SingleFamily,1921.0,,,"Detached Carport, Driveway, Garage - Two Door",4,2.0,3.0,0.4,3.0,0.3,,,,,90019,Mid-City
2712 Southwest Dr,520000.0,SingleFamily,1929.0,Central,Central Air,Garage - Single Door,2,2.0,,,4.0,0.3,,,"Dishwasher, Refrigerator",Stackable,90043,View Park-Windsor Hills
937 N Crescent Heights Blvd,1435000.0,SingleFamily,1922.0,Central,Central Air,"Detached Carport, Concrete, Garage, Garage - Two Door, On Street, Private",3,2.0,3.0,0.2,,,7.0,0.5,Disposal,In Kitchen,90046,Hollywood Hills
151 N Thurston Ave,3990000.0,SingleFamily,2017.0,Central,Air Conditioning,"Garage, Garage - Attached, Covered",4,6.0,9.0,2.7,,,6.0,1.9,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Washer",Inside,90049,Brentwood
880 W 1st St APT 504,580000.0,Condo,1982.0,Central,Central Air,"Assigned, Community Structure, Covered, Guest",2,2.0,6.0,0.9,3.0,0.8,3.0,0.7,"Dishwasher, Disposal, Microwave, Refrigerator","Community, Laundry Room, See Remarks",90012,Downtown LA
1149 S Lucerne Blvd,1395000.0,SingleFamily,1922.0,Central,Central Air,Garage - Two Door,3,2.0,7.0,0.1,3.0,0.7,4.0,0.3,"Dishwasher, Disposal, Microwave, Refrigerator",,90019,Mid-City
12817 Gilmore Ave,1575000.0,SingleFamily,1947.0,Central,Central Air,Garage - Two Door,3,2.0,6.0,0.2,2.0,0.6,6.0,1.0,"Dishwasher, Washer",Inside,90066,Mar Vista
626 E 90th St,405000.0,SingleFamily,1927.0,Wall Furnace,"Wall/Window Unit(s), Gas","Direct Access, Driveway, Driveway - Combination, Garage Faces Rear",2,1.0,3.0,0.3,1.0,1.1,2.0,0.3,"Free-Standing Range, Gas Oven, Gas Range, Microwave","Gas Dryer Hookup, Inside",90002,Watts
6212 S Budlong Ave,405000.0,SingleFamily,1924.0,,,Garage,2,1.0,,,2.0,0.3,2.0,0.5,,Inside,90044,South Los Angeles
1567 Campus Rd,985000.0,SingleFamily,1929.0,,,"Garage - Two Door, Side By Side",2,1.0,5.0,0.3,,,7.0,0.7,,Laundry Room,90042,Highland Park
1907 E 88th St,386000.0,SingleFamily,1929.0,Wall Furnace,,,2,1.0,3.0,0.2,1.0,0.7,,,,Outside,90002,Watts
6161 Shenandoah Ave,2185000.0,SingleFamily,1961.0,Central,Central Air,"Direct Access, Garage, Garage - Three Door",4,5.0,,,,,,,"Dishwasher, Disposal, Microwave, Refrigerator",Laundry Room,90056,Ladera Heights
4020 Barrett Rd,510000.0,SingleFamily,1923.0,Wall Furnace,,Garage,2,1.0,6.0,0.6,5.0,1.0,4.0,1.8,,Laundry Room,90032,El Sereno
4455 Los Feliz Blvd APT 604,650000.0,Condo,1966.0,Other,Central,"Off-street, Covered",1,1.0,8.0,0.4,6.0,1.0,8.0,0.6,"Dishwasher, Range / Oven, Refrigerator",,90027,Los Feliz
1301 Mccollum St,1850000.0,SingleFamily,1925.0,"Forced air, Heat pump, Other, Gas",Refrigerator,"Garage, Carport, Garage - Attached, Garage - Detached, Off-street, On-street, Covered",4,4.0,2.0,0.3,6.0,1.2,8.0,1.7,"Refrigerator, Trash compactor, Washer",,90026,Echo Park
1542 W 52nd St,485000.0,SingleFamily,1913.0,Floor Furnace,,,2,1.0,2.0,0.2,,,2.0,1.2,,Inside,90062,South Los Angeles
923 E 118th St,368000.0,MultiFamily,1949.0,Wall Heater,,Covered,3,2.0,4.0,0.2,2.0,0.9,,,,Outside,90059,Willowbrook
600 W 9th St APT 203,505000.0,Condo,1983.0,"Forced Air, Electric",Central Air,"Assigned, Built-In Storage, Garage Door Opener, Gated",1,1.0,2.0,0.8,3.0,0.8,3.0,1.0,"Built-In Range, Dishwasher, Electric Oven, Disposal, Microwave, Refrigerator, Dryer, Washer",Laundry Closet,90015,South Park
900 W Olympic Blvd UNIT 37C,1250000.0,Condo,2010.0,Central,Central Air,Valet,1,2.0,2.0,0.5,3.0,0.7,3.0,1.1,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",,90015,South Park
4875 Patrae St,1400000.0,SingleFamily,1971.0,Central,,Garage - Attached,4,3.0,5.0,0.7,2.0,0.2,6.0,1.5,Dishwasher,In Garage,90066,Mar Vista
2000 W 79th St,790000.0,SingleFamily,1925.0,Central,Central Air,"Garage, Garage - Attached, Covered",5,4.0,3.0,0.4,4.0,2.9,2.0,1.9,"Dishwasher, Garbage disposal, Range / Oven, Refrigerator",Inside,90047,South Los Angeles
530 S Hewitt St UNIT 327,716000.0,Condo,1966.0,Central,Central Air,"Assigned, Auto Driveway Gate, Controlled Entrance",0,1.0,,,6.0,1.4,3.0,1.5,"Dishwasher, Refrigerator, Washer, Dryer",,90013,Little Tokyo
8956 Wonderland Park Ave,4500000.0,SingleFamily,1953.0,"Central, Radiant",Central Air,Carport,3,2.0,9.0,0.7,3.0,3.7,7.0,2.7,"Dishwasher, Disposal, Microwave, Washer, Dryer",Inside,90046,Hollywood Hills
3877 Latrobe St,930000.0,SingleFamily,1964.0,,,Carport,3,2.0,5.0,0.5,,,,,"Dishwasher, Refrigerator, Range, Range Hood",Laundry Closet,90031,Lincoln Heights
4262 Division St,755000.0,SingleFamily,1978.0,Central,Central Air,Direct Access,3,3.0,7.0,0.7,,,7.0,1.2,"Dishwasher, Double Oven, Gas Cooktop, Tankless Water Heater",Laundry Room,90065,Glassell Park
2811 Francis Ave APT 107,480000.0,Condo,2006.0,Central,Central Air,Assigned,2,2.0,8.0,0.1,,,,,"Dishwasher, Disposal, Microwave, Gas Cooktop, Gas Range, Range, Dryer",,90005,Koreatown
1158 W 68th St,525000.0,SingleFamily,1912.0,"Wall Furnace, Fireplace(s)","Central Air, Wall/Window Unit(s)","Carport, Driveway, Off Street",3,2.0,,,2.0,0.6,2.0,0.7,"Free-Standing Range, Refrigerator, Dryer, Washer","Laundry Room, Inside",90044,South Los Angeles
8015 Briar Summit Dr,3499000.0,SingleFamily,1959.0,"Central, Fireplace(s)",Central Air,Attached Carport,4,4.0,,,6.0,1.9,8.0,2.7,"Barbecue, Dishwasher, Disposal, Refrigerator, Washer, Dryer",See Remarks,90046,Hollywood Hills
1972 Outpost Cir,2050000.0,SingleFamily,1947.0,Central,Central Air,"Concrete, Garage - Two Door",4,5.0,4.0,0.7,3.0,1.2,6.0,0.5,"Dishwasher, Disposal, Microwave, Washer, Dryer",Laundry Room,90068,Hollywood Hills
912 S Ogden Dr,1670000.0,SingleFamily,1926.0,Central,Central Air,Garage,3,2.0,5.0,0.5,,,7.0,1.5,"Dishwasher, Gas Cooktop",Laundry Room,90036,Fairfax
2160 Century Park E APT 1109,779000.0,Condo,1966.0,"Central, Electric","Central Air, Electric","Assigned, Guest, Underground, Valet",2,2.0,9.0,1.4,,,6.0,3.3,"Dishwasher, Disposal, Refrigerator",Community,90067,Century City
1917 W 66th St,587500.0,SingleFamily,1935.0,Wall Furnace,,"Concrete, Garage",2,1.0,,,,,,,"Dishwasher, Gas Range, Water Heater",Laundry Room,90047,South Los Angeles
855 E 77th St,443000.0,MultiFamily,1926.0,"None, Other",,Covered,3,3.0,3.0,0.1,3.0,0.8,,,,"Washer Hookup, Gas & Electric Dryer Hookup",90001,
1318 Roxbury Dr UNIT 213,1300000.0,Condo,2008.0,"Central, Fireplace(s), Forced Air, Natural Gas","Central Air, Dual, Gas","Assigned, Community Structure, Controlled Entrance, Covered, Garage Door Opener, Garage - Two Door, Guest, Tandem",2,3.0,7.0,0.9,7.0,2.2,6.0,1.5,"Dishwasher, Disposal, Microwave, Refrigerator, Built-In, Gas Cooktop, Washer, Dryer",Laundry Room,90035,Beverlywood
5307 S Saint Andrews Pl,540000.0,SingleFamily,1913.0,,,,2,1.0,2.0,0.3,,,,,,Common Area,90062,South Los Angeles
5228 Sierra Villa Dr,1125000.0,SingleFamily,1922.0,Central,Central Air,"Driveway, Garage",3,2.0,8.0,0.7,,,7.0,1.2,"Disposal, Refrigerator",Inside,90041,Eagle Rock
743 E 90th St,410000.0,SingleFamily,1940.0,Wall Furnace,,"Garage Faces Front, Garage - Single Door, Gated",3,1.0,3.0,0.5,1.0,0.9,,,"Dishwasher, Gas Oven, Gas Range, Gas Water Heater, Microwave, Refrigerator","Gas & Electric Dryer Hookup, In Kitchen",90002,Watts
1503 E 122nd St,445000.0,SingleFamily,1946.0,,Central Air,Garage,2,1.0,3.0,0.2,,,3.0,0.6,,In Garage,90059,Willowbrook
5114 E 4th St,395000.0,SingleFamily,1946.0,Central,Central Air,Garage - Attached,1,1.0,4.0,0.2,5.0,0.4,,,,"Outside, Washer Hookup",90022,East Los Angeles
648 E 45th St,502000.0,SingleFamily,1904.0,,,Garage,4,2.0,2.0,0.3,3.0,0.2,,,,Inside,90011,South Park
11959 Mayfield Ave APT 2,1230000.0,Townhouse,1980.0,Central,,"Assigned, Community Structure, Covered, Garage - Two Door, Gated",2,3.0,9.0,1.9,7.0,1.8,6.0,0.5,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",,90049,Brentwood
1140 E 77th St,440000.0,SingleFamily,1924.0,,,,3,1.0,5.0,0.3,3.0,0.7,,,,Laundry Room,90001,
133 W 92nd St,890000.0,MultiFamily,2019.0,"Forced air, Gas",,"Garage - Attached, Off-street, Covered",10,6.0,2.0,0.1,2.0,0.7,,,,Laundry Area,90003,South Los Angeles
10450 Wilshire Blvd UNIT 10F,650000.0,Condo,1961.0,Central,Central Air,"Unassigned, Valet",1,1.0,9.0,0.4,,,6.0,2.3,"Dishwasher, Refrigerator, Electric Cooktop, Electric Oven",Community,90024,Westwood
500 N Genesee Ave,811000.0,Condo,1928.0,Central,Central Air,"Driveway, Garage - Single Door",2,2.0,3.0,0.5,,,7.0,0.2,"Dishwasher, Disposal, Refrigerator, Range, Range Hood, Washer, Dryer",,90036,Fairfax
1162 N Alexandria Ave,799999.0,SingleFamily,1948.0,,,Garage - Attached,4,2.0,3.0,0.1,3.0,1.3,,,,Outside,90029,East Hollywood
5663 Fountain Ave,2000000.0,MultiFamily,1956.0,Wall,Other,"Carport, Garage - Detached, Covered",16,8.0,4.0,0.3,3.0,0.3,4.0,0.1,"Garbage disposal, Range / Oven, Refrigerator",,90028,Hollywood
W 36th Pl,715000.0,SingleFamily,1910.0,Wall,Window Unit(s),0 spaces,3,2.0,3.0,0.4,3.0,1.1,2.0,1.8,,Inside,90018,Jefferson Park
1576 W 36th Pl,715000.0,SingleFamily,1910.0,Wall Furnace,,Concrete,3,2.0,,,,,,,,Inside,90018,Jefferson Park
3654 Glenfeliz Blvd,1328000.0,SingleFamily,1926.0,Central,"Central Air, High Efficiency","Driveway, Driveway - Combination, Garage",3,3.0,5.0,0.4,,,8.0,1.0,"Built-In Range, Dishwasher, Gas & Electric Range, Microwave, Refrigerator",Laundry Closet,90039,Atwater Village
1428 W 47th St,700000.0,SingleFamily,1909.0,Wall Furnace,,Garage - Two Door,4,2.0,3.0,0.2,,,3.0,0.7,"Dishwasher, Refrigerator, Washer, Dryer",,90062,South Los Angeles
3446 4th Ave,899888.0,SingleFamily,1911.0,"Central, Fireplace(s)",Central Air,"Paved, Garage, Garage Faces Rear, Garage - Single Door",3,2.0,3.0,0.2,2.0,1.1,2.0,1.6,"Dishwasher, Gas Oven, Gas Range, Refrigerator, Self Cleaning Oven, Water Heater","Gas & Electric Dryer Hookup, Laundry Room, Washer Hookup",90018,Jefferson Park
10621 Ohio Ave,4225000.0,SingleFamily,2018.0,Central,Central Air,"Concrete, Garage - Two Door",7,7.0,9.0,0.1,,,6.0,1.9,"Barbecue, Dishwasher, Disposal, Microwave, Refrigerator, Built-In, Range Hood, Washer, Dryer","Inside, Upper Level, Laundry Room",90024,Westwood
2122 Manitou Ave,300000.0,SingleFamily,1902.0,Wall,,"Garage, Covered",3,1.0,3.0,0.2,5.0,1.0,4.0,1.9,,,90031,Lincoln Heights
1109 Coronado Ter,1670000.0,SingleFamily,1912.0,Central,Central Air,On Street,4,3.0,2.0,0.4,6.0,1.4,8.0,1.9,"Dishwasher, Refrigerator, Washer, Dryer","In Kitchen, Stackable",90026,Echo Park
512 Meridian Ter,840000.0,SingleFamily,1911.0,,,Garage,2,1.0,7.0,0.3,,,7.0,0.8,Gas Range,"Laundry Room, Inside",90042,Highland Park
3892 Franklin Ave,1975000.0,SingleFamily,1934.0,Central,Central Air,Driveway,3,3.0,8.0,0.5,6.0,0.5,8.0,0.3,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",Inside,90027,Los Feliz
8613 Hickory St,809000.0,MultiFamily,2015.0,,Wall/Window Unit(s),"Driveway, Garage",8,6.0,3.0,0.2,1.0,0.8,,,,"Gas Dryer Hookup, Washer Hookup",90002,Watts
628 E 74th St,374950.0,SingleFamily,1947.0,,Central Air,Garage - Attached,3,2.0,5.0,0.6,3.0,0.9,3.0,0.4,,Inside,90001,
2294 W 20th St,1420000.0,SingleFamily,1910.0,Central,Central Air,0 spaces,3,3.0,,,5.0,0.5,4.0,1.5,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",Upper Level,90018,Jefferson Park
1900 Vine St APT 302,615000.0,Condo,1980.0,Central,Central,0 spaces,3,2.0,6.0,0.3,3.0,0.9,6.0,1.0,"Dryer, Refrigerator, Washer",In Unit,90068,Hollywood Hills
3930 De Longpre Ave,1425000.0,SingleFamily,1972.0,Central,Central Air,"Attached Carport, Driveway",3,2.0,8.0,0.7,6.0,0.2,8.0,0.7,"Dishwasher, Refrigerator, Washer, Dryer",Laundry Closet,90027,Los Feliz
10832 Lawler St,800000.0,SingleFamily,1926.0,,,"Detached Carport, Driveway, Garage",2,1.0,4.0,0.5,7.0,0.1,6.0,2.4,"Refrigerator, Washer, Dryer",Inside,90034,Palms
3785 Wilshire Blvd APT 707,880000.0,Condo,2009.0,Central,Central Air,"Assigned, Side By Side",2,2.0,6.0,0.5,,,,,"Dishwasher, Disposal, Microwave",,90010,Wilshire Center
5942 Southside Dr,405000.0,SingleFamily,1947.0,,,Garage,4,2.0,4.0,0.6,,,5.0,1.6,,Inside,90022,East Los Angeles
