Address,Sold Price,Type,Year built,Heating,Cooling,Parking,Bedrooms,Bathrooms,Elementary School,Elementary School Score,Elementary School Distance,Middle School,Middle School Score,Middle School Distance,High School,High School Score,High School Distance,Appliances included,Laundry features,Tax assessed value,Annual tax amount,City
2736 Guirado St,605000.0,SingleFamily,1971.0,Central,Central Air,,3,2.0,Euclid Avenue Elementary School,5.0,0.3,Hollenbeck Middle School,6.0,0.2,Theodore Roosevelt Senior High,3.0,0.3,"6 Burner Stove, Gas Range",Laundry Room,326528.0,4116.0,Los Angeles
3126 W 11th St,8750000.0,SingleFamily,1914.0,Other,Other,"Garage, Carport, Garage - Detached, Covered",3,1.0,Los Angeles Elementary School,3.0,0.1,Pio Pico Middle School,5.0,0.7,West Adams Preparatory High School,4.0,1.3,,Other,1290000.0,15783.0,Los Angeles
431 S Kingsley Dr APT 201,550000.0,Condo,1983.0,Central,Central Air,Garage,2,2.0,Cahuenga Elementary School,5.0,0.3,,,,,,,,Inside,412098.0,4991.0,Los Angeles
222 S Central Ave APT 117,377000.0,Condo,1985.0,,Wall/Window Unit(s),"Community Structure, Controlled Entrance",1,1.0,,,,Hollenbeck Middle School,6.0,1.8,Belmont Senior High School,3.0,1.8,"Electric Oven, Microwave, Refrigerator",Laundry Room,110208.0,1424.0,Los Angeles
12004 S Broadway,410000.0,Condo,2006.0,,Central Air,Direct Access,4,2.0,One Hundred Twenty-Second Street Elementary School,6.0,0.7,Samuel Gompers Middle School,2.0,0.8,,,,,"Laundry Closet, Upper Level",352000.0,4473.0,Los Angeles
1815 Westmoreland Blvd,1120000.0,SingleFamily,1910.0,Wall,,"Covered, Garage",6,3.0,Twenty-Fourth Street Elementary School,2.0,0.4,Pio Pico Middle School,5.0,0.7,West Adams Preparatory High School,4.0,1.1,,Individual Room,1341708.0,16578.0,Los Angeles
826 W 104th St,365000.0,SingleFamily,1929.0,Central,,"Driveway, Garage - Two Door",3,2.0,Woodcrest Elementary School,5.0,0.5,Samuel Gompers Middle School,2.0,1.4,George Washington Preparatory High School,2.0,0.9,Disposal,,520300.0,6528.0,Los Angeles
2848 Griffin Ave,855000.0,SingleFamily,2019.0,Central,Central,Covered,3,3.0,Hillside Elementary School,2.0,0.3,Florence Nightingale Middle School,5.0,0.7,Woodrow Wilson Senior High School,4.0,1.8,"Dishwasher, Garbage disposal, Microwave, Refrigerator",In Unit,,,Los Angeles
1250 W 58th Pl,575000.0,SingleFamily,1912.0,Wall Furnace,Evaporative Cooling,,3,2.0,Budlong Avenue Elementary School,3.0,0.1,John Muir Middle School,2.0,0.4,Augustus F. Hawkins High A Critical Design And Gaming,2.0,0.6,"Gas Oven, Microwave",Inside,403000.0,5115.0,Los Angeles
3130 Hollycrest Dr,1185000.0,SingleFamily,2004.0,Central,Central Air,Garage - Two Door,2,3.0,Valley View Elementary School,8.0,0.2,Hubert Howe Bancroft Middle School,3.0,2.6,Hollywood Senior High School,6.0,1.9,"Dishwasher, Refrigerator",See Remarks,896167.0,11119.0,Los Angeles
1452 S Spaulding Ave,2195000.0,SingleFamily,1928.0,"Central, Heat Pump, Natural Gas","Central Air, Dual, Electric","Auto Driveway Gate, Carport, Detached Carport, Driveway, Driveway - Combination, Paved",4,4.0,Saturn Street Elementary School,4.0,0.4,,,,Fairfax Senior High School,7.0,2.1,"Dishwasher, Disposal, Microwave, Refrigerator, Vented Exhaust Fan, Water Purifier, Washer, Dryer","Stackable, Upper Level, Laundry Room",858840.0,10544.0,Los Angeles
1035 W 66th St,419900.0,SingleFamily,1911.0,,,"Driveway, Open",2,2.0,Budlong Avenue Elementary School,3.0,0.5,John Muir Middle School,2.0,0.5,Augustus F. Hawkins High A Critical Design And Gaming,2.0,0.5,,"Gas Dryer Hookup, Washer Hookup",280000.0,3525.0,Los Angeles
2501 Lancaster Ave,570000.0,SingleFamily,1926.0,Zoned,Wall/Window Unit(s),"Driveway, RV Access/Parking",5,3.0,Murchison Street Elementary School,2.0,0.2,El Sereno Middle School,5.0,1.8,Woodrow Wilson Senior High School,4.0,1.0,"Gas Cooktop, Gas Water Heater, Water Heater Central",Outside,295112.0,3836.0,Los Angeles
1734 S Victoria Ave,1050000.0,SingleFamily,1921.0,,,"Detached Carport, Driveway, Garage - Two Door",4,2.0,Arlington Heights Elementary School,3.0,0.4,"Johnnie Cochran, Jr., Middle School",3.0,0.3,,,,,,406541.0,5193.0,Los Angeles
2712 Southwest Dr,520000.0,SingleFamily,1929.0,Central,Central Air,Garage - Single Door,2,2.0,,,,Alliance Leadership Middle Academy,4.0,0.3,,,,"Dishwasher, Refrigerator",Stackable,269586.0,3377.0,Los Angeles
937 N Crescent Heights Blvd,1435000.0,SingleFamily,1922.0,Central,Central Air,"Detached Carport, Concrete, Garage, Garage - Two Door, On Street, Private",3,2.0,Laurel Elementary School,3.0,0.2,,,,Fairfax Senior High School,7.0,0.5,Disposal,In Kitchen,844509.0,10362.0,Los Angeles
151 N Thurston Ave,3990000.0,SingleFamily,2017.0,Central,Air Conditioning,"Garage, Garage - Attached, Covered",4,6.0,Roscomare Road Elementary School,9.0,2.7,,,,University Senior High School Charter,6.0,1.9,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Washer",Inside,4145993.0,86153.0,Los Angeles
880 W 1st St APT 504,580000.0,Condo,1982.0,Central,Central Air,"Assigned, Community Structure, Covered, Guest",2,2.0,Castelar Street Elementary School,6.0,0.9,Sal Castro Middle School,3.0,0.8,Belmont Senior High School,3.0,0.7,"Dishwasher, Disposal, Microwave, Refrigerator","Community, Laundry Room, See Remarks",606160.0,7545.0,Los Angeles
1149 S Lucerne Blvd,1395000.0,SingleFamily,1922.0,Central,Central Air,Garage - Two Door,3,2.0,Queen Anne Place Elementary School,7.0,0.1,"Johnnie Cochran, Jr., Middle School",3.0,0.7,Los Angeles Senior High School,4.0,0.3,"Dishwasher, Disposal, Microwave, Refrigerator",,856800.0,10586.0,Los Angeles
12817 Gilmore Ave,1575000.0,SingleFamily,1947.0,Central,Central Air,Garage - Two Door,3,2.0,Short Avenue Elementary School,6.0,0.2,Marina Del Rey Middle School,2.0,0.6,Venice Senior High School,6.0,1.0,"Dishwasher, Washer",Inside,1455518.0,18036.0,Los Angeles
626 E 90th St,405000.0,SingleFamily,1927.0,Wall Furnace,"Wall/Window Unit(s), Gas","Direct Access, Driveway, Driveway - Combination, Garage Faces Rear",2,1.0,Ninety-Third Street Elementary School,3.0,0.3,Charles Drew Middle School,1.0,1.1,Academy For Multiligual Arts And Science At Mervyn M. Dymally High,2.0,0.3,"Free-Standing Range, Gas Oven, Gas Range, Microwave","Gas Dryer Hookup, Inside",272993.0,3583.0,Los Angeles
6212 S Budlong Ave,405000.0,SingleFamily,1924.0,,,Garage,2,1.0,,,,John Muir Middle School,2.0,0.3,Augustus F. Hawkins High A Critical Design And Gaming,2.0,0.5,,Inside,339660.0,4228.0,Los Angeles
1567 Campus Rd,985000.0,SingleFamily,1929.0,,,"Garage - Two Door, Side By Side",2,1.0,Toland Way Elementary School,5.0,0.3,,,,Eagle Rock High School,7.0,0.7,,Laundry Room,673865.0,8296.0,Los Angeles
1907 E 88th St,386000.0,SingleFamily,1929.0,Wall Furnace,,,2,1.0,Graham Elementary School,3.0,0.2,Charles Drew Middle School,1.0,0.7,,,,,Outside,316000.0,4417.0,Los Angeles
6161 Shenandoah Ave,2185000.0,SingleFamily,1961.0,Central,Central Air,"Direct Access, Garage, Garage - Three Door",4,5.0,,,,,,,,,,"Dishwasher, Disposal, Microwave, Refrigerator",Laundry Room,1407600.0,16799.0,Los Angeles
4020 Barrett Rd,510000.0,SingleFamily,1923.0,Wall Furnace,,Garage,2,1.0,Sierra Vista Elementary School,6.0,0.6,El Sereno Middle School,5.0,1.0,Woodrow Wilson Senior High School,4.0,1.8,,Laundry Room,438471.0,5482.0,Los Angeles
4455 Los Feliz Blvd APT 604,650000.0,Condo,1966.0,Other,Central,"Off-street, Covered",1,1.0,Franklin Avenue Elementary School,8.0,0.4,Thomas Starr King Middle School,6.0,1.0,John Marshall Senior High School,8.0,0.6,"Dishwasher, Range / Oven, Refrigerator",,652704.0,7927.0,Los Angeles
1301 Mccollum St,1850000.0,SingleFamily,1925.0,"Forced air, Heat pump, Other, Gas",Refrigerator,"Garage, Carport, Garage - Attached, Garage - Detached, Off-street, On-street, Covered",4,4.0,Mayberry Street Elementary School,2.0,0.3,Thomas Starr King Middle School,6.0,1.2,John Marshall Senior High School,8.0,1.7,"Refrigerator, Trash compactor, Washer",,1157700.0,14157.0,Los Angeles
1542 W 52nd St,485000.0,SingleFamily,1913.0,Floor Furnace,,,2,1.0,Western Avenue Elementary School,2.0,0.2,,,,Augustus F. Hawkins High A Critical Design And Gaming,2.0,1.2,,Inside,212309.0,2814.0,Los Angeles
923 E 118th St,368000.0,MultiFamily,1949.0,Wall Heater,,Covered,3,2.0,One Hundred Sixteenth Street Elementary School,4.0,0.2,Samuel Gompers Middle School,2.0,0.9,,,,,Outside,402900.0,5368.0,Los Angeles
600 W 9th St APT 203,505000.0,Condo,1983.0,"Forced Air, Electric",Central Air,"Assigned, Built-In Storage, Garage Door Opener, Gated",1,1.0,Tenth Street Elementary School,2.0,0.8,John H. Liechty Middle School,3.0,0.8,Belmont Senior High School,3.0,1.0,"Built-In Range, Dishwasher, Electric Oven, Disposal, Microwave, Refrigerator, Dryer, Washer",Laundry Closet,504072.0,6149.0,Los Angeles
900 W Olympic Blvd UNIT 37C,1250000.0,Condo,2010.0,Central,Central Air,Valet,1,2.0,Tenth Street Elementary School,2.0,0.5,John H. Liechty Middle School,3.0,0.7,Belmont Senior High School,3.0,1.1,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",,1178900.0,14793.0,Los Angeles
4875 Patrae St,1400000.0,SingleFamily,1971.0,Central,,Garage - Attached,4,3.0,Braddock Drive Elementary School,5.0,0.7,Marina Del Rey Middle School,2.0,0.2,Venice Senior High School,6.0,1.5,Dishwasher,In Garage,166984.0,2322.0,Los Angeles
2000 W 79th St,790000.0,SingleFamily,1925.0,Central,Central Air,"Garage, Garage - Attached, Covered",5,4.0,Seventy-Fourth Street Elementary School,3.0,0.4,Animo Charter Middle No. 3,4.0,2.9,George Washington Preparatory High School,2.0,1.9,"Dishwasher, Garbage disposal, Range / Oven, Refrigerator",Inside,339181.0,4395.0,Los Angeles
530 S Hewitt St UNIT 327,716000.0,Condo,1966.0,Central,Central Air,"Assigned, Auto Driveway Gate, Controlled Entrance",0,1.0,,,,Hollenbeck Middle School,6.0,1.4,Theodore Roosevelt Senior High,3.0,1.5,"Dishwasher, Refrigerator, Washer, Dryer",,,,Los Angeles
8956 Wonderland Park Ave,4500000.0,SingleFamily,1953.0,"Central, Radiant",Central Air,Carport,3,2.0,Wonderland Avenue Elementary School,9.0,0.7,Hubert Howe Bancroft Middle School,3.0,3.7,Fairfax Senior High School,7.0,2.7,"Dishwasher, Disposal, Microwave, Washer, Dryer",Inside,1161107.0,14333.0,Los Angeles
3877 Latrobe St,930000.0,SingleFamily,1964.0,,,Carport,3,2.0,Glen Alta Elementary School,5.0,0.5,,,,,,,"Dishwasher, Refrigerator, Range, Range Hood",Laundry Closet,492417.0,6086.0,Los Angeles
4262 Division St,755000.0,SingleFamily,1978.0,Central,Central Air,Direct Access,3,3.0,Mt. Washington Elementary School,7.0,0.7,,,,Benjamin Franklin Senior High School,7.0,1.2,"Dishwasher, Double Oven, Gas Cooktop, Tankless Water Heater",Laundry Room,483810.0,6043.0,Los Angeles
2811 Francis Ave APT 107,480000.0,Condo,2006.0,Central,Central Air,Assigned,2,2.0,Hoover Street Elementary School,8.0,0.1,,,,,,,"Dishwasher, Disposal, Microwave, Gas Cooktop, Gas Range, Range, Dryer",,364285.0,4473.0,Los Angeles
1158 W 68th St,525000.0,SingleFamily,1912.0,"Wall Furnace, Fireplace(s)","Central Air, Wall/Window Unit(s)","Carport, Driveway, Off Street",3,2.0,,,,John Muir Middle School,2.0,0.6,Augustus F. Hawkins High A Critical Design And Gaming,2.0,0.7,"Free-Standing Range, Refrigerator, Dryer, Washer","Laundry Room, Inside",323373.0,4165.0,Los Angeles
8015 Briar Summit Dr,3499000.0,SingleFamily,1959.0,"Central, Fireplace(s)",Central Air,Attached Carport,4,4.0,,,,Walter Reed Middle School,6.0,1.9,North Hollywood Senior High School,8.0,2.7,"Barbecue, Dishwasher, Disposal, Refrigerator, Washer, Dryer",See Remarks,2637298.0,32382.0,Los Angeles
1972 Outpost Cir,2050000.0,SingleFamily,1947.0,Central,Central Air,"Concrete, Garage - Two Door",4,5.0,Selma Avenue Elementary School,4.0,0.7,Hubert Howe Bancroft Middle School,3.0,1.2,Hollywood Senior High School,6.0,0.5,"Dishwasher, Disposal, Microwave, Washer, Dryer",Laundry Room,1813041.0,22328.0,Los Angeles
912 S Ogden Dr,1670000.0,SingleFamily,1926.0,Central,Central Air,Garage,3,2.0,Carthay Center Elementary,5.0,0.5,,,,Fairfax Senior High School,7.0,1.5,"Dishwasher, Gas Cooktop",Laundry Room,1242249.0,15120.0,Los Angeles
2160 Century Park E APT 1109,779000.0,Condo,1966.0,"Central, Electric","Central Air, Electric","Assigned, Guest, Underground, Valet",2,2.0,Westwood Charter Elementary School,9.0,1.4,,,,University Senior High School Charter,6.0,3.3,"Dishwasher, Disposal, Refrigerator",Community,509845.0,6136.0,Los Angeles
1917 W 66th St,587500.0,SingleFamily,1935.0,Wall Furnace,,"Concrete, Garage",2,1.0,,,,,,,,,,"Dishwasher, Gas Range, Water Heater",Laundry Room,478583.0,5919.0,Los Angeles
855 E 77th St,443000.0,MultiFamily,1926.0,"None, Other",,Covered,3,3.0,Mckinley Avenue Elementary School,3.0,0.1,Thomas A. Edison Middle School,3.0,0.8,,,,,"Washer Hookup, Gas & Electric Dryer Hookup",530000.0,6718.0,Los Angeles
